Position,Const,Created,Modified,Description,Name,Known For,Birth Date
60,nm0001136,2021-10-29,2021-10-29,,Bruce Dern,Nebraska,1936-06-04
61,nm0000947,2021-10-29,2021-10-29,,Karen Black,Five Easy Pieces,1939-07-01
62,nm0810379,2021-11-02,2021-11-02,,Yeardley Smith,The Simpsons,1964-07-03
63,nm0005417,2021-11-02,2021-11-02,,Lin Shaye,Insidious,1943-10-12
64,nm0068551,2021-11-02,2021-11-02,,Tobin Bell,Saw,1942-08-07
65,nm0000126,2021-11-19,2021-11-19,,Kevin Costner,The Postman,1955-01-18
66,nm0267812,2021-11-21,2021-11-21,,Vera Farmiga,Up in the Air,1973-08-06
67,nm0000418,2021-12-10,2021-12-10,,Danny Glover,Lethal Weapon,1946-07-22
68,nm0001627,2021-12-10,2021-12-10,,Sidney Poitier,In the Heat of the Night,1927-02-20
69,nm0000245,2021-12-29,2021-12-29,,Robin Williams,Mrs. Doubtfire,1951-07-21
70,nm0000314,2022-01-15,2022-01-15,,Charles Bronson,C'era una volta il West,1921-11-03
71,nm0000335,2022-01-31,2022-01-31,,Glenn Close,Fatal Attraction,1947-03-19
72,nm0000130,2022-01-31,2022-01-31,,Jamie Lee Curtis,Halloween,1958-11-22
73,nm0000732,2022-03-27,2022-03-27,,Danny Aiello,Do the Right Thing,1933-06-20
74,nm0000380,2022-06-07,2022-06-07,,Robert Duvall,The Apostle,1931-01-05
75,nm0001283,2022-08-19,2022-08-19,,Louis Gossett Jr.,An Officer and a Gentleman,1936-05-27
76,nm0000163,2022-12-03,2022-12-03,,Dustin Hoffman,Tootsie,1937-08-08
77,nm0000152,2022-12-07,2022-12-07,,Richard Gere,Chicago,1949-08-31
78,nm0001687,2022-12-11,2022-12-11,,Gena Rowlands,The Notebook,1930-06-19
79,nm0936762,2023-01-27,2023-01-27,,John Witherspoon,Friday,1942-01-27
80,nm0005148,2023-02-06,2023-02-06,,Delroy Lindo,Get Shorty,1952-11-18
